学号姓名	身份证号码	性别	出生日期	年龄	籍贯
C121417马小军	110101200001051054				湖北
C121301曾令铨	110102199812191513				北京
C121201张国强	110102199903292713				北京
C121424孙令煊	110102199904271532				北京
C121404江晓勇	110102199905240451				山西
C121001吴小飞	110102199905281913				北京
C121422姚南	110103199903040920				北京
C121425杜学江	110103199903270623				北京
C121401宋子丹	110103199904290936				北京
C121439吕文伟	110103199908171548				湖南
C120802符坚	110104199810261737				山西
C121411张杰	110104199903051216				北京
C120901谢如雪	110105199807142140				北京
C121440方天宇	110105199810054517				河北
C121413莫一明	110105199810212519				北京
C121423徐霞客	110105199811111135				北京
C121432孙玉敏	110105199906036123				山东
C121101徐鹏飞	110106199903293913				陕西
C121403张雄杰	110106199905133052				北京
C121437康秋林	110106199905174819				河北
C121420陈家洛	110106199907250970				吉林
C121003苏三强	110107199904230930				河南
C121428陈万地	110108199811063791				河北
C121410苏国强	110108199812284251				山东
C121412吉莉莉	110108199908013724				河南
C121407甄士隐	110108200001295479				山西
C120801白宏伟	110109199810240031				四川
C121002毛兰儿	110109199908070328				安徽
C121433王清华	110111199810014018				云南
C121302黄蓉	110111199810042027				贵州
C121405齐小娟	110111199906163022				北京
C121414郭晶晶	110221199909293625				北京
C121415侯登科	110221200002048335				北京
C121430刘小锋	110223199905060558				山西
C121402郑菁华	110223199906235661				北京
C121442习志敏	110223199910136635				北京
C121434李春娜	110223200001116380				北京
C121441郎润	110224199810234821				北京
C121435倪冬声	110224199907042031				北京
C121426齐飞扬	110224200001280026				天津
C121408周梦飞	110226199904111420				北京
C121438钱飞虎	110226199908090053				北京
C121303侯小文	110226199910021915				云南
C121429张国强	110226199912221659				北京
C121416宋子文	110226199912240017				北京
C121409杜春兰	110227199812061545				北京
C121444李北冥	110227199909040059				湖南
C121427苏解玉	110229199811140023				北京
C121431张鹏举	110229199909011331				北京
C121421张国强	110229199909060831				湖北
C121418郑秀丽	120112199811263741				北京
C121406孙如红	130630199905210048				北京
C121443张馥郁	131182199909163825				天津
C121419刘小红	150404199909074122				北京
C121436闫朝霞	11010519990531542X				北京
